taxi_identifier, hack_license, pickup_datetime,timestamp, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
2013001380,2013001377,2013-01-14 00:00:00,1358118000,180,1.1,-73.98774,40.754494,-73.98774,40.754494,CRD,5.5,0.5,0.5,1.2,0.0,7.7
2013001380,2013001377,2013-01-14 00:00:00,1358118000,180,1.1,-73.98774,40.754494,-73.98774,40.754494,CRD,21.5,0.5,0.5,3.0,0.0,25.5
2013007090,2013007086,2013-01-14 00:00:00,1358118000,600,3.74,-73.959976,40.798225,-73.980576,40.755878,CSH,13.0,0.5,0.5,0.0,0.0,14.0
2013007090,2013007086,2013-01-14 00:00:00,1358118000,600,3.74,-73.959976,40.798225,-73.980576,40.755878,CSH,14.5,0.5,0.5,0.0,0.0,15.5
2013007090,2013007086,2013-01-14 00:00:00,1358118000,600,3.74,-73.959976,40.798225,-73.980576,40.755878,CSH,17.0,0.5,0.5,0.0,0.0,18.0
2013007090,2013007086,2013-01-14 00:00:00,1358118000,600,3.74,-73.959976,40.798225,-73.980576,40.755878,CSH,32.0,0.5,0.5,0.0,4.8,37.8
2013003012,2013029613,2013-01-14 00:00:00,1358118000,1080,4.54,-73.987076,40.721058,-73.919472,40.701923,CRD,17.0,0.5,0.5,3.5,0.0,21.5
2013007491,2013007487,2013-01-14 00:00:00,1358118000,1080,9.54,-73.862625,40.768902,-73.987274,40.7439,CRD,27.5,0.5,0.5,5.0,4.8,38.3
2013007491,2013007487,2013-01-14 00:00:00,1358118000,1080,9.54,-73.862625,40.768902,-73.987274,40.7439,CRD,7.5,0.5,0.5,1.6,0.0,10.1
2013007491,2013007487,2013-01-14 00:00:00,1358118000,1080,9.54,-73.862625,40.768902,-73.987274,40.7439,CRD,7.5,0.5,0.5,1.6,0.0,10.1